ID,FEMALE,MALE,ETHBLACK,ETHHISP,ETHWHITE,AGE,S,EDUCPROF,EDUCPHD,EDUCMAST,EDUCBA,EDUCAA,EDUCHSD,EDUCDO,SINGLE,MARRIED,DIVORCED,FAITHN,FAITHP,FAITHC,FAITHJ,FAITHO,ASVAB01,ASVAB02,ASVAB03,ASVAB04,ASVAB05,ASVAB06,ASVABC,HEIGHT,WEIGHT85,WEIGHT02,SM,SF,SIBLINGS,LIBRARY,POV78,EXP,EARNINGS,HOURS,TENURE,COLLBARG,CATGOV,CATPRI,CATSE,URBAN,REGNE,REGNC,REGW,REGS
4831,0,1,0,0,1,37,18,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,54,61,59,62,44,45,62.808189,70,140,150,13,16,4,0,0,13.288462,23.07,40,1.1153846,0,1,0,0,1,0,1,0,0
2893,0,1,0,0,1,42,19,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,68,66,61,59,60,59,65.261765,67,120,150,16,17,1,1,0,17.307692,55.049999,51,14.211538,0,0,1,0,0,1,0,0,0
2998,0,1,0,0,1,41,12,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,56,50,59,53,41,44,54.356983,70,175,222,11,9,4,1,0,22.403847,12.3,50,4.6730771,0,0,1,0,1,0,0,0,1
3887,0,1,0,0,1,40,20,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,68,66,61,62,62,60,66.079628,75,205,280,14,17,2,1,0,10.865385,109.61,50,.03846154,1,0,1,0,0,0,1,0,0
39,0,1,0,0,1,43,12,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,50,47,46,47,52,31,47.541496,72,180,195,12,12,4,1,0,22.576923,28.84,50,17.557692,0,0,1,0,1,0,0,0,1
520,0,1,1,0,0,44,16,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,40,40,46,41,44,50,42.089104,71,185,225,12,8,7,1,0,20.288462,17.620001,60,.69230771,0,0,1,0,1,0,1,0,0
674,0,1,1,0,0,41,12,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,42,34,30,32,31,38,32.002178,69,165,215,10,11,6,1,0,18.557692,14.16,60,2.0384614,0,0,1,0,1,0,1,0,0
11809,0,1,0,0,1,38,16,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,50,58,54,44,59,48,54.902222,74,175,242,12,12,1,1,0,15.153846,21.870001,40,2.1346154,0,0,1,0,1,0,0,0,1
2090,0,1,0,0,1,38,12,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,42,42,35,32,49,43,37.727192,67,140,160,12,12,6,1,0,16.5,11.35,36,1.6538461,0,0,1,0,1,0,1,0,0
1560,0,1,0,0,1,41,12,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,46,50,41,44,43,41,46.996254,64,155,195,12,18,1,1,0,13.884615,11.42,35,.75,0,0,1,0,1,0,0,1,0
547,0,1,0,0,1,44,11,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,42,50,48,56,41,35,52.176029,69,230,225,9,16,5,1,0,21.576923,21.73,50,1.7115384,0,0,1,0,0,0,1,0,0
2106,0,1,0,0,1,43,12,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,46,58,48,47,60,56,54.084366,74,245,225,12,12,1,0,0,22.692308,16,58,23.51923,1,0,1,0,0,0,1,0,0
4360,0,1,0,0,1,45,16,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,60,59,55,62,60,46,60.627235,80,225,238,10,8,3,1,1,19.442308,28.200001,45,15.230769,0,0,1,0,1,0,0,0,1
3390,0,1,1,0,0,42,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,64,66,57,53,62,65,62.535572,69,185,240,17,17,2,1,0,16.384615,30.549999,45,2.6923077,0,0,1,0,1,0,1,0,0
5024,0,1,0,0,1,44,12,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,56,50,50,50,52,46,51.085548,71,169,220,18,14,4,1,0,23.153847,15.34,50,12.615385,0,0,0,1,1,0,0,0,1
3493,0,1,0,0,1,44,12,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,62,58,56,53,47,51,57.901039,70,200,300,10,10,3,1,0,20.384615,14,40,3.9423077,0,0,1,0,1,0,0,0,1
5470,0,1,0,0,1,40,12,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,42,50,41,59,56,50,51.085548,66,130,165,5,6,10,0,1,19.23077,15,40,10.076923,0,0,1,0,1,0,0,0,1
4840,0,1,0,0,1,39,15,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,54,62,55,53,57,57,59.809376,71,240,240,12,10,2,0,0,13.230769,8.6099997,40,1.4230769,0,0,1,0,0,0,1,0,0
1961,0,1,0,0,1,44,12,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,66,55,54,50,58,57,54.902222,71,175,190,12,17,5,0,0,23.384615,21.5,40,8.3269234,0,0,1,0,1,1,0,0,0
2391,0,1,0,0,1,44,12,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,60,47,52,53,42,35,50.812931,72,220,300,12,12,3,1,0,16.903847,7.5,40,2.0961537,0,0,1,0,1,0,0,1,0
4470,0,1,0,0,1,39,18,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,56,49,56,53,57,49,52.993885,72,180,190,12,15,2,1,0,7.0192308,21.92,50,4.2884617,0,1,0,0,1,0,1,0,0
3195,0,1,0,0,1,42,12,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,48,64,50,53,51,58,59.536755,65,160,182,12,12,2,1,0,22.557692,14.1,50,16.961538,1,0,1,0,1,1,0,0,0
1386,0,1,1,0,0,41,12,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,40,39,43,44,52,42,41.543865,68,155,175,14,12,4,1,1,9.6153851,15.75,47,8.9807692,0,0,1,0,0,0,0,0,1
3706,0,1,0,0,1,45,13,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,54,53,56,50,50,40,54.356983,72,170,235,12,12,4,1,0,23,20.190001,50,1.7692307,0,0,1,0,1,0,0,1,0
1055,0,1,0,0,1,42,16,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,58,62,56,56,62,62,60.899853,72,175,180,12,16,1,1,0,18.038462,8.3000002,14,1.7307693,0,1,0,0,1,0,1,0,0
2595,0,1,0,0,1,42,12,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,42,42,37,41,44,45,40.726006,65,145,165,12,12,1,0,,20.634615,9.6099997,40,1.1346154,0,0,1,0,2,0,0,0,1
3420,0,1,0,0,1,43,14,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,56,59,59,53,43,39,59.264137,72,200,230,16,14,2,1,0,21.48077,26.440001,40,3.8269231,0,0,1,0,1,0,0,1,0
3059,0,1,0,0,1,45,12,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,54,36,44,50,46,47,41.816483,71,190,210,12,12,5,0,0,23.038462,21.389999,40,7.5961537,1,0,1,0,0,1,0,0,0
5579,0,1,0,0,1,40,12,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,44,54,44,56,60,49,53.266506,72,245,280,10,12,3,0,0,22.288462,41.25,40,7.6923075,0,0,1,0,1,0,0,0,1
5197,0,1,0,0,1,39,17,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,56,49,57,56,56,54,54.084366,65,125,155,12,16,1,1,1,11.269231,25,60,10.365385,1,1,0,0,1,0,0,1,0
3468,0,1,0,0,1,43,15,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,58,64,60,62,52,56,64.71653,72,175,195,12,12,2,1,0,20.48077,19.35,40,9.0384617,0,0,1,0,1,0,0,1,0
1099,0,1,0,0,1,42,14,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,48,59,57,53,37,47,58.718899,73,172,210,16,16,4,1,0,15.615385,21.360001,45,4,0,0,1,0,1,0,0,0,1
2861,0,1,0,0,1,39,17,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,68,66,61,59,62,57,65.261765,69,162,190,14,15,1,1,0,15.5,39.860001,55,15.057693,0,0,1,0,1,1,0,0,0
342,0,1,0,0,1,39,16,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,68,65,60,59,54,57,64.443909,70,160,165,12,16,3,1,0,17.23077,38.459999,40,8.4423075,0,0,1,0,0,1,0,0,0
3232,0,1,0,0,1,45,14,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,54,62,55,47,54,57,58.173656,67,185,220,12,8,4,0,0,21.038462,12.5,40,1.0384616,0,1,0,0,0,1,0,0,0
5395,0,1,0,0,1,38,17,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,50,55,43,56,56,48,53.539127,76,180,185,12,12,2,1,0,14.596154,10,45,1.6923077,0,0,1,0,0,0,1,0,0
2178,0,1,0,0,1,38,16,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,54,53,54,59,62,47,56.26532,75,202,250,12,16,3,1,0,11.923077,19.23,40,.32692307,0,1,0,0,0,0,0,0,1
1239,0,1,0,0,1,41,13,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,50,43,51,56,38,42,49.177212,63,322,168,12,12,1,0,,17.73077,18.75,45,10.75,0,1,0,0,1,0,0,0,1
2116,0,1,0,0,1,41,12,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,40,35,43,44,41,48,39.362907,72,165,190,12,12,5,0,0,20.211538,10,30,1.3461539,0,0,1,0,0,0,0,0,1
2633,0,1,0,0,1,39,16,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,64,66,59,62,62,64,65.534386,72,178,215,12,13,2,1,0,14.653846,29.24,48,6.4807692,0,0,1,0,1,0,1,0,0
776,0,1,0,0,1,41,17,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,66,64,60,59,62,57,63.89867,69,147,165,12,13,2,1,0,15.403846,59,44,2.2884614,0,0,1,0,1,0,1,0,0
5521,0,1,0,0,1,41,12,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,68,58,54,62,52,38,59.809376,73,180,205,12,6,2,0,0,21.23077,10,40,21.942308,0,0,1,0,0,0,0,0,1
2309,0,1,1,0,0,41,12,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,42,47,39,38,42,37,43.179581,71,180,180,6,6,10,1,1,9.5192308,5.1500001,36,2.3461537,0,0,1,0,1,0,0,0,1
644,0,1,0,0,1,44,20,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,64,58,61,59,53,48,60.899853,72,175,184,12,14,2,1,0,14.153846,54.48,60,4.5384617,1,0,1,0,1,0,0,1,0
3985,0,1,0,0,1,44,13,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,44,47,42,50,32,46,47.268875,72,195,210,10,11,5,1,0,20.423077,26.700001,50,4.7307692,1,0,1,0,0,0,1,0,0
3712,0,1,0,0,1,40,16,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,62,55,59,53,56,46,57.083179,71,150,175,16,18,4,1,,15.788462,19.799999,48,6.1346154,0,0,1,0,0,0,1,0,0
4764,0,1,0,0,1,42,12,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,52,47,48,50,54,48,48.904594,73,170,185,12,12,3,1,0,21.923077,19,50,16.538462,0,0,1,0,1,0,1,0,0
4143,0,1,0,0,1,39,12,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,58,58,52,50,46,37,55.992702,70,150,190,12,13,2,0,,20.442308,16.91,48,2.0192308,1,1,0,0,1,0,0,0,1
1527,0,1,1,0,0,45,12,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,28,35,28,29,39,31,31.18432,68,143,165,11,10,6,0,0,21.365385,12,40,16.615385,1,1,0,0,1,0,0,0,1
1002,0,1,1,0,0,39,12,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,28,35,31,26,36,47,31.18432,67,175,175,10,12,5,0,0,12.173077,6,35,1.3269231,0,0,1,0,1,0,1,0,0
4349,0,1,0,0,1,38,10,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,30,32,31,20,41,31,27.912886,64,135,150,14,12,4,0,0,13.596154,7.5,35,.5,0,0,1,0,1,0,1,0,0
4688,0,1,0,0,1,42,16,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,60,65,61,56,59,54,63.89867,75,190,220,16,16,1,1,0,18.98077,31.459999,55,16.576923,0,0,1,0,1,0,1,0,0
1963,0,1,0,0,1,41,12,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,54,55,55,53,62,63,55.992702,69,155,195,12,12,2,1,0,23.096153,19.870001,60,15.615385,0,0,1,0,1,1,0,0,0
2314,0,1,0,0,1,45,12,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,52,59,55,50,62,59,57.355801,68,170,170,10,9,1,1,0,22.826923,20.940001,40,8.7884617,0,1,0,0,0,0,0,0,1
4760,0,1,0,0,1,38,17,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,64,64,60,56,53,49,63.080811,73,178,225,14,15,1,1,0,12.730769,18.190001,37,2.3846154,0,1,0,0,1,0,1,0,0
2649,0,1,0,1,0,41,18,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,68,64,60,62,48,38,64.71653,75,271,280,4,14,8,1,1,10.653846,15.38,40,6.7307692,1,1,0,0,1,0,0,0,1
393,0,1,0,0,1,39,13,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,58,62,56,44,51,50,57.628418,72,190,225,11,12,3,1,0,18.384615,25,50,3.2884614,0,0,1,0,1,1,0,0,0
3140,0,1,0,0,1,43,13,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,50,46,56,56,57,54,52.176029,72,190,215,12,12,3,1,0,22.673077,29.32,40,3.5,0,1,0,0,1,0,0,0,1
4443,0,1,0,0,1,42,12,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,46,39,52,44,28,47,43.99744,76,190,230,14,12,2,1,0,18.846153,8.7700005,30,.25,1,0,1,0,1,0,0,1,0
5398,0,1,0,0,1,39,16,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,52,58,54,62,52,52,59.809376,73,195,225,8,8,3,1,0,17.884615,38.459999,45,7.8076925,0,0,1,0,1,0,1,0,0
2010,0,1,0,0,1,44,19,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,62,54,60,59,60,57,58.446278,74,170,180,16,18,1,0,0,17.961538,47,45,3.3269231,0,0,1,0,1,0,0,1,0
2614,0,1,0,0,1,42,12,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,46,49,37,44,36,39,45.360538,68,163,170,9,12,3,0,0,3.0192308,17.299999,40,3.0192308,0,0,1,0,1,1,0,0,0
3495,0,1,0,0,1,45,12,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,54,53,50,50,48,48,52.721268,66,140,154,9,10,3,1,0,22.73077,23.15,45,15.096154,1,0,1,0,1,0,1,0,0
3484,0,1,0,0,1,37,12,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,36,34,38,20,37,48,30.911701,65,140,165,5,12,3,0,0,15.461538,11,46,5.3653846,0,0,0,1,1,0,1,0,0
3391,0,1,1,0,0,43,17,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,68,66,61,62,53,60,66.079628,75,195,250,16,18,4,1,0,14.192307,27.040001,43,1.4423077,0,0,1,0,1,0,1,0,0
1122,0,1,0,1,0,45,16,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,68,65,61,62,51,54,65.534386,73,220,235,12,17,2,1,0,13.961538,27,55,.17307693,0,0,1,0,0,0,0,0,1
2741,0,1,0,0,1,45,12,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,50,57,54,50,54,52,55.992702,71,200,240,11,4,2,0,0,22.76923,11.3,40,22.98077,0,0,1,0,0,0,0,0,1
1744,0,1,0,0,1,41,13,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,54,58,57,50,42,28,57.355801,68,185,250,14,12,3,1,0,18.576923,25,40,16.557692,1,0,1,0,1,0,0,1,0
1721,0,1,0,1,0,43,12,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,36,39,31,32,61,40,35.000996,65,145,175,2,2,10,0,0,23.23077,75.580002,40,23.576923,0,0,1,0,1,0,0,1,0
1000,0,1,1,0,0,41,14,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,58,54,60,56,54,50,57.628418,71,190,230,16,12,4,1,1,12.25,25.120001,40,7.1730771,1,0,1,0,1,0,1,0,0
1418,0,1,0,1,0,37,12,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,48,49,46,47,43,29,48.631973,71,245,250,9,12,2,1,0,19.134615,12.75,50,7.5192308,0,0,1,0,0,0,0,0,1
3595,0,1,0,0,1,41,12,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,50,57,43,47,62,57,52.176029,75,210,230,12,13,8,1,0,17.346153,24,46,23.557692,0,0,1,0,0,0,1,0,0
3833,0,1,0,0,1,38,12,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,52,51,48,47,57,54,50.267689,72,175,205,12,12,2,0,0,17.557692,13.33,45,3.7115386,0,0,1,0,1,0,1,0,0
605,0,1,0,0,1,39,12,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,56,53,50,50,38,57,52.721268,73,200,228,11,12,5,1,0,20.038462,20,48,18.096153,0,0,1,0,1,0,1,0,0
2055,0,1,0,0,1,43,12,0,0,0,0,0,1,0,0,1,0,-3,-3,-3,-3,-3,52,65,56,59,51,36,63.353432,74,262,320,12,12,3,1,0,17.134615,11,40,.44230768,0,0,1,0,1,0,1,0,0
4517,0,1,0,0,1,42,16,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,54,43,54,41,56,44,45.905777,75,200,200,12,12,2,1,0,18.75,35.02,56,1.2884616,0,0,1,0,1,0,0,1,0
3307,0,1,1,0,0,45,15,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,36,39,37,35,47,41,37.454571,71,192,165,14,15,1,1,0,20.73077,9.6999998,25,7.8076925,1,0,1,0,1,1,0,0,0
3037,0,1,0,0,1,43,12,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,44,58,57,56,57,39,58.991516,72,195,220,12,15,6,1,0,23.173077,24.780001,45,24.384615,1,1,0,0,0,1,0,0,0
2477,0,1,0,0,1,37,15,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,58,43,56,59,55,54,51.35817,71,195,195,18,19,1,1,0,16.692308,17.5,40,8.2307692,0,0,1,0,0,0,1,0,0
2613,0,1,0,0,1,43,13,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,62,65,56,59,52,54,63.353432,69,145,185,10,12,5,0,0,20.807692,20.68,40,15.346154,0,0,1,0,2,0,0,0,1
1569,0,1,0,0,1,40,16,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,68,55,60,56,41,37,58.173656,74,160,185,12,12,4,0,0,15.519231,23.17,40,9.9807692,1,1,0,0,1,0,0,1,0
4278,0,1,0,0,1,42,12,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,62,57,57,50,55,63,56.810562,72,225,260,12,12,6,1,0,23.307692,19.459999,40,14.769231,0,0,1,0,1,0,0,0,1
1429,0,1,0,0,1,44,16,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,48,54,60,59,62,56,58.446278,69,165,200,10,20,3,0,0,16.634615,16.82,40,4.0961537,0,0,1,0,1,0,0,0,1
2188,0,1,0,0,1,38,14,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,36,43,41,38,52,55,41.543865,72,160,200,12,14,1,1,0,16.923077,9.6800003,48,13.269231,1,0,1,0,0,0,0,0,1
1058,0,1,1,0,0,38,13,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,44,40,48,47,53,44,44.270061,72,155,192,13,8,2,1,0,16.288462,13,40,3,0,0,1,0,1,0,1,0,0
2468,0,1,0,0,1,39,16,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,58,64,54,59,61,58,62.262951,75,210,260,14,16,1,1,,18.5,76.919998,50,1.7692307,0,0,1,0,1,0,0,1,0
4299,0,1,0,0,1,38,16,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,54,62,48,56,53,48,58.718899,69,140,155,12,12,3,1,0,13.403846,16.66,45,.69230771,0,1,0,0,1,0,0,0,1
1333,0,1,0,0,1,43,12,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,38,31,24,20,21,27,25.459309,64,130,120,8,0,0,0,1,17.307692,5,20,8.5192308,0,0,1,0,0,0,0,0,1
4297,0,1,0,0,1,41,13,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,48,47,56,53,54,57,51.903408,70,170,200,12,18,4,1,0,23.25,26.219999,55,3.8076923,0,0,1,0,1,0,0,0,1
3033,0,1,1,0,0,44,18,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,58,58,60,56,62,56,59.809376,71,163,195,15,12,3,1,0,18.903847,63.459999,50,3.8846154,0,0,1,0,1,0,0,0,1
4791,0,1,0,0,1,45,12,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,48,42,38,41,39,45,40.998627,73,185,205,12,12,6,1,0,23.115385,13.94,40,23.884615,0,0,1,0,1,0,1,0,0
2470,0,1,0,0,1,39,12,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,48,54,51,56,55,54,55.174843,73,180,200,13,10,1,1,0,21.076923,7.6900001,60,13.076923,0,0,0,1,0,0,1,0,0
11947,0,1,0,1,0,40,12,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,24,42,34,35,43,47,38.27243,68,152,190,8,0,12,0,1,19.403847,40.59,45,3.7115386,1,0,1,0,1,0,1,0,0
2666,0,1,0,1,0,38,9,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,28,34,29,29,36,25,30.911701,66,120,168,8,5,2,1,1,21.423077,6.48,40,22,0,1,0,0,1,0,0,0,1
4813,0,1,0,0,1,37,14,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,50,49,55,50,51,31,51.903408,77,160,200,16,16,1,1,0,18.346153,25.959999,40,4.7307692,1,0,1,0,0,0,1,0,0
196,0,1,0,0,1,37,18,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,64,64,56,62,62,61,63.626049,72,165,215,20,16,1,1,0,13.903846,57.259998,45,1.3846154,0,0,1,0,1,1,0,0,0
3875,0,1,0,0,1,39,16,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,52,62,55,62,61,59,62.262951,75,170,180,16,15,2,1,0,15.653846,24.67,53,13.423077,0,0,1,0,1,0,0,0,1
3202,0,1,0,0,1,43,12,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,52,43,54,50,46,32,48.359352,70,180,220,10,8,4,0,0,21.673077,14.25,40,1,0,0,1,0,1,1,0,0,0
3634,0,1,0,0,1,37,9,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,40,40,37,23,38,28,34.728374,67,115,140,12,11,4,0,0,16.5,7.21,40,1.8846154,0,0,1,0,1,0,1,0,0
489,0,1,0,0,1,41,14,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,52,65,54,44,55,57,58.718899,73,175,190,12,18,3,0,0,19.557692,34.18,45,4.9615383,0,0,1,0,1,0,1,0,0
3780,0,1,0,0,1,38,12,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,48,53,50,50,52,48,52.721268,73,185,225,12,10,1,1,0,15.480769,24.030001,40,11.557693,1,0,1,0,1,0,1,0,0
5147,0,1,0,1,0,44,12,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,46,47,52,59,53,61,52.448647,75,205,238,14,6,3,1,0,22.76923,32.049999,45,24.942308,1,0,1,0,1,0,0,1,0
813,0,1,0,0,1,42,20,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,58,65,59,56,62,57,63.353432,72,165,155,12,13,1,1,0,15.673077,14.05,40,13.5,0,0,1,0,1,0,1,0,0
868,0,1,0,0,1,41,19,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,66,65,61,56,50,59,63.89867,71,180,200,15,18,3,1,0,15.230769,16.82,40,5.5576925,0,1,0,0,0,0,1,0,0
